idIIP,nazwaGlown,kategoria,rodzaj,x,y
PL.PZGiK.320.NGRP.41856,Hucisko,miejscowość,wieś,20.57672264430042,51.11875482648513
PL.PZGiK.320.NGRP.41857,Hucisko,miejscowość,wieś,20.86889647779447,50.96213478774101
PL.PZGiK.320.NGRP.41858,Hucisko,miejscowość,wieś,21.04728201139472,50.87413310061813
PL.PZGiK.320.NGRP.41859,Hucisko,miejscowość,wieś,20.152433425741425,51.09574166450446
PL.PZGiK.320.NGRP.41860,Hucisko,miejscowość,wieś,20.204214746947287,51.015426983437706
PL.PZGiK.320.NGRP.41861,Hucisko,miejscowość,wieś,20.398547884913498,50.96761212863867
PL.PZGiK.320.NGRP.41862,Hucisko,miejscowość,część wsi,20.299870441124355,50.88885882799516
PL.PZGiK.320.NGRP.41864,Hucisko,miejscowość,wieś,20.134695875944367,49.9202232378424
PL.PZGiK.320.NGRP.41866,Hucisko,miejscowość,wieś,19.500345472978445,50.693541781467914
PL.PZGiK.320.NGRP.41867,Hucisko,miejscowość,część wsi,19.851824320465596,49.7630576433229
PL.PZGiK.320.NGRP.41868,Hucisko,miejscowość,wieś,18.930259360794338,50.65399236392008
PL.PZGiK.320.NGRP.41869,Hucisko,miejscowość,osada leśna,19.08177788067424,50.645022708047435
PL.PZGiK.320.NGRP.41870,Hucisko,miejscowość,wieś,19.49716709723577,50.593290324293825
PL.PZGiK.320.NGRP.41871,Hucisko,miejscowość,część wsi,20.085830378808502,49.57986620142156
PL.PZGiK.320.NGRP.41874,Hucisko,miejscowość,wieś,19.396093202195033,49.690803168100146
PL.PZGiK.320.NGRP.41875,Hucisko,miejscowość,przysiółek wsi,19.54903657851357,49.69391685805761
PL.PZGiK.320.NGRP.41877,Hucisko,miejscowość,przysiółek wsi,19.635982155082914,49.646347036579755
PL.PZGiK.320.NGRP.41878,Hucisko Jawornickie,miejscowość,wieś,22.34708811498817,49.893874878860146
PL.PZGiK.320.NGRP.41880,Hucisko Małokobielskie,miejscowość,przysiółek wsi,19.63322054940436,51.00146568471647
PL.PZGiK.320.NGRP.41881,Hucisko Nienadowskie,miejscowość,wieś,22.417167419693293,49.87531308844407
PL.PZGiK.320.NGRP.41882,Hucisko Przybyszowskie,miejscowość,przysiółek wsi,19.578571158508336,51.03017198262688
PL.PZGiK.320.NGRP.41884,Kolonia Hucisko,miejscowość,część wsi,22.39691948550529,50.455778362767376
PL.PZGiK.320.NGRP.41885,Kolonia Hucisko,miejscowość,kolonia wsi,19.49988313286933,50.598728412660094
PL.PZGiK.320.NGRP.41892,Huczna,miejscowość,przysiółek wsi,23.09695975870649,52.59035642278989
PL.PZGiK.320.NGRP.41901,Osiedle Hufcowa,miejscowość,część miasta,19.400301917952305,51.74808027213721
PL.PZGiK.320.NGRP.41903,Hujdowa,miejscowość,przysiółek wsi,19.584201870093597,49.63965860153556
PL.PZGiK.320.NGRP.41904,Hujdy,miejscowość,przysiółek wsi,19.579518810532242,49.66644589035401
PL.PZGiK.320.NGRP.41906,Kukawka,miejscowość,osada leśna,21.272657394754358,51.67082871291464
PL.PZGiK.320.NGRP.41908,Hukowicze,miejscowość,wieś,23.343012199191655,52.852353114585846
PL.PZGiK.320.NGRP.41909,Hulanka,miejscowość,kolonia wsi,18.738027900983084,52.43014731952523
PL.PZGiK.320.NGRP.41910,Hulanka,miejscowość,część wsi,19.855093684650267,51.88706058089559
PL.PZGiK.320.NGRP.41911,Hulanka,miejscowość,wieś,23.057637916329146,51.96264323918993
PL.PZGiK.320.NGRP.41912,Hulanka,miejscowość,część wsi,22.130736411602403,50.1428597512497
PL.PZGiK.320.NGRP.41913,Hulanka,miejscowość,część wsi,19.3506471487309,51.17150623439061
